sigma_cd,seed,method,mse,mae,rho_mean,rho_max,ess_mean,resample_frac,nonfinite
0.05,7,WSPF-A,0.119483,0.261624,0.03773845458377898,0.5538556705545065,5.166045033709077,1.0,0
0.05,7,WSPF-B,0.077329,0.214265,0.031061210520463758,0.2678747536437559,7.760185053096678,1.0,0
0.05,8,SGD,0.021054,0.109608,nan,nan,nan,nan,
0.05,8,PF,0.067224,0.197631,nan,nan,10.23190539493372,1.0,0
0.05,8,WSPF-A,0.100144,0.244052,0.03285736931060799,0.27363579460286364,4.890184731134142,1.0,0
0.05,8,WSPF-B,0.092878,0.233429,0.03356729055454461,0.3066619336990001,7.616330845771135,1.0,0
0.05,9,SGD,0.019956,0.105491,nan,nan,nan,nan,
0.05,9,PF,0.072353,0.206922,nan,nan,10.414778027678993,1.0,0
0.05,9,WSPF-A,0.092203,0.232118,0.03489000482645782,0.29424013191452764,4.964244602063713,1.0,0
0.05,9,WSPF-B,0.072696,0.208025,0.02793206091073345,0.19020854859345254,8.36950097935858,1.0,0
0.1,0,SGD,0.021168,0.109653,nan,nan,nan,nan,
0.1,0,PF,0.180913,0.321063,nan,nan,3.886804956249655,1.0,0
0.1,0,WSPF-A,0.171583,0.313230,0.019160757329408012,0.15883981449503648,3.5653349383705115,1.0,0
0.1,0,WSPF-B,0.162307,0.296303,0.019069030321687105,0.27010654756751373,3.655412681388895,1.0,0
0.1,1,SGD,0.021363,0.111654,nan,nan,nan,nan,
0.1,1,PF,0.143968,0.280985,nan,nan,3.940050152786034,1.0,0
0.1,1,WSPF-A,0.158644,0.294090,0.01896733283851167,0.20802617721642283,3.79868606059256,1.0,0
0.1,1,WSPF-B,0.195714,0.326129,0.02153210961664137,0.360905178488076,3.4254952981196567,1.0,0
0.1,2,SGD,0.019872,0.105871,nan,nan,nan,nan,
0.1,2,PF,0.169000,0.307712,nan,nan,3.818351039276025,1.0,0
0.1,2,WSPF-A,0.142559,0.287039,0.01879973588037754,0.184404235294347,3.743471910918286,1.0,0
0.1,2,WSPF-B,0.161239,0.302893,0.019561832852795304,0.2021415939978482,3.440330887845958,1.0,0
0.1,3,SGD,0.021864,0.112118,nan,nan,nan,nan,
0.1,3,PF,0.165407,0.301506,nan,nan,3.855335224932283,1.0,0
0.1,3,WSPF-A,0.191696,0.314584,0.022219850563280467,0.3823162944490447,3.7288879840415774,1.0,0
0.1,3,WSPF-B,0.167011,0.304977,0.020819632665638497,0.29656119866740505,3.445608268700069,1.0,0
0.1,4,SGD,0.020864,0.109752,nan,nan,nan,nan,
0.1,4,PF,0.182328,0.315925,nan,nan,3.6826730011566977,1.0,0
0.1,4,WSPF-A,0.210266,0.336932,0.023090940444716906,0.32172019519438894,3.571010572447638,1.0,0
0.1,4,WSPF-B,0.221288,0.343655,0.023533051979258524,0.3240255386757251,3.4265395529440426,1.0,0
0.1,5,SGD,0.021195,0.109692,nan,nan,nan,nan,
0.1,5,PF,0.214659,0.343786,nan,nan,3.4449618174691308,1.0,0
0.1,5,WSPF-A,0.151288,0.291302,0.019035987739765302,0.2114199953187359,3.71860164134704,1.0,0
0.1,5,WSPF-B,0.230733,0.349856,0.024088098508837186,0.5605969099284792,3.6361219280291057,1.0,0
0.1,6,SGD,0.020934,0.108292,nan,nan,nan,nan,
0.1,6,PF,0.235185,0.342032,nan,nan,3.8572959248341085,1.0,0
0.1,6,WSPF-A,0.186865,0.318592,0.019569682296966286,0.348402840447002,3.4291581778850233,1.0,0
0.1,6,WSPF-B,0.226439,0.352252,0.023877084706117636,0.33740325122168796,3.5000385000573315,1.0,0
0.1,7,SGD,0.020970,0.109453,nan,nan,nan,nan,
0.1,7,PF,0.200664,0.326043,nan,nan,3.7085976878120666,1.0,0
